Season,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS,FG%,3P%,FT%,Pace,eFG%,TOV%,ORB%,FT/FGA,ORtg,TS%
2015-16,38.2,84.6,8.5,24.1,17.7,23.4,10.4,33.3,43.8,22.3,14.4,20.3,102.7,0.452,0.354,0.757,95.8,0.502,13.2,23.8,0.209,106.4,0.541
2014-15,37.5,83.6,7.8,22.4,17.1,22.8,10.9,32.4,43.3,22,14.4,20.2,100,0.449,0.35,0.75,93.9,0.496,13.3,25.1,0.205,105.6,0.534
2013-14,37.7,83,7.7,21.5,17.8,23.6,10.9,31.8,42.7,22,14.6,20.7,101,0.454,0.36,0.756,93.9,0.501,13.6,25.5,0.215,106.6,0.541
2012-13,37.1,82,7.2,20,16.7,22.2,11.2,31,42.1,22.1,14.6,19.8,98.1,0.453,0.359,0.753,92,0.496,13.7,26.5,0.204,105.8,0.535
2011-12,36.5,81.4,6.4,18.4,16.9,22.5,11.4,30.8,42.2,21,14.6,19.6,96.3,0.448,0.349,0.752,91.3,0.487,13.8,27,0.208,104.6,0.527
2010-11,37.2,81.2,6.5,18,18.6,24.4,10.9,30.5,41.4,21.5,14.3,20.7,99.6,0.459,0.358,0.763,92.1,0.498,13.4,26.4,0.229,107.3,0.541
2009-10,37.7,81.7,6.4,18.1,18.6,24.5,11,30.8,41.7,21.2,14.2,20.9,100.4,0.461,0.355,0.759,92.7,0.501,13.3,26.3,0.228,107.6,0.543
2008-09,37.1,80.9,6.6,18.1,19.1,24.7,11,30.3,41.3,21,14,21,100,0.459,0.367,0.771,91.7,0.5,13.3,26.7,0.236,108.3,0.544
2007-08,37.3,81.5,6.6,18.1,18.8,24.9,11.2,30.8,42,21.8,14.1,21,99.9,0.457,0.362,0.755,92.4,0.497,13.2,26.7,0.231,107.5,0.54
2006-07,36.5,79.7,6.1,16.9,19.6,26.1,11.1,29.9,41.1,21.3,15.1,22.2,98.7,0.458,0.358,0.752,91.9,0.496,14.2,27.1,0.246,106.5,0.541
2005-06,35.8,79,5.7,16,19.6,26.3,11.2,29.8,41,20.6,14.4,22.8,97,0.454,0.358,0.745,90.5,0.49,13.7,27.3,0.248,106.2,0.536
2004-05,35.9,80.3,5.6,15.8,19.7,26.1,12,29.8,41.9,21.3,14.5,22.6,97.2,0.447,0.356,0.756,90.9,0.482,13.6,28.7,0.245,106.1,0.529
2003-04,35,79.8,5.2,14.9,18.2,24.2,12.1,30.1,42.2,21.3,15,21.4,93.4,0.439,0.347,0.752,90.1,0.471,14.2,28.6,0.228,102.9,0.516
2002-03,35.7,80.8,5.1,14.7,18.5,24.4,12,30.3,42.3,21.5,14.9,21.8,95.1,0.442,0.349,0.758,91,0.474,14,28.5,0.229,103.6,0.519
2001-02,36.2,81.3,5.2,14.7,17.9,23.8,12.2,30.2,42.4,21.9,14.5,21.2,95.5,0.445,0.354,0.752,90.7,0.477,13.6,28.9,0.221,104.5,0.52
2000-01,35.7,80.6,4.8,13.7,18.6,24.9,12,30.5,42.5,21.8,15,22.3,94.8,0.443,0.354,0.748,91.3,0.473,14.1,28.2,0.231,103,0.518
