Season,Curry_FG3M_per_game,Curry_FG3A_per_game,League_3PM_per_game,League_3PA_per_game,Curry_FG3M,Curry_FG3A,Curry_FG3_PCT,League_3P%_per_game
2009-10,2.075,4.75,5.767901235,16.55308642,166,380,0.437,0.344506173
2010-11,2.040540541,4.621621622,5.607865169,16.40337079,151,342,0.442,0.336932584
2011-12,2.115384615,4.653846154,6.363793103,18.13793103,55,121,0.455,0.349327586
2012-13,3.487179487,7.692307692,6.228089888,18.10674157,272,600,0.453,0.339370787
2013-14,3.346153846,7.884615385,6.855555556,20.29555556,261,615,0.424,0.333922222
2014-15,3.575,8.075,7.125274725,21.16263736,286,646,0.443,0.333505495
2015-16,5.088607595,11.21518987,7.308602151,21.78494624,402,886,0.454,0.330774194
2016-17,4.101265823,9.987341772,8.21875,24.10416667,324,789,0.411,0.3389375
2017-18,4.156862745,9.823529412,9.223469388,26.7,212,501,0.423,0.343081633
2018-19,5.130434783,11.73913043,9.649494949,28.6030303,354,810,0.437,0.335929293
2019-20,2.4,9.8,10.35268817,28.40645161,12,49,0.245,0.373634409
2020-21,5.349206349,12.71428571,11.40833333,32.29833333,337,801,0.421,0.352783333
2021-22,4.453125,11.71875,11.19894737,30.03894737,285,750,0.38,0.381547368
2022-23,4.875,11.41071429,11.50138889,32.32777778,273,639,0.427,0.354597222
2023-24,4.824324324,11.83783784,11.80684932,33.18082192,357,876,0.408,0.354767123
2024-25,4.442857143,11.2,12.11710526,34.36184211,311,784,0.397,0.350407895
2025-26,4.6875,12,11.23023256,32.38837209,75,192,0.391,0.345697674
