SEASON,FG3M_per_game,FG3A_per_game,FG3M,FG3A,FG3_PCT
009-10,2.075,4.75,166,380,0.437
010-11,2.0405405405405403,4.621621621621622,151,342,0.442
011-12,2.1153846153846154,4.653846153846154,55,121,0.455
012-13,3.4871794871794872,7.6923076923076925,272,600,0.453
013-14,3.3461538461538463,7.884615384615385,261,615,0.424
014-15,3.575,8.075,286,646,0.443
015-16,5.0886075949367084,11.215189873417721,402,886,0.454
016-17,4.10126582278481,9.987341772151899,324,789,0.411
017-18,4.1568627450980395,9.823529411764707,212,501,0.423
018-19,5.130434782608695,11.73913043478261,354,810,0.437
019-20,2.4,9.8,12,49,0.245
020-21,5.349206349206349,12.714285714285714,337,801,0.421
021-22,4.453125,11.71875,285,750,0.38
022-23,4.875,11.410714285714286,273,639,0.427
023-24,4.824324324324325,11.837837837837839,357,876,0.408
024-25,4.442857142857143,11.2,311,784,0.397
025-26,4.6875,12.0,75,192,0.391
